Title,Carpet Area,Status,Floor,Price,Bathrooms,Transaction,Furnishing
3 BHK Apartment for Sale in Laxmi Nagar Nagpur,N/A,Poss. by Sep '26,4 out of 6,"₹
1.19 Cr",,,
4 BHK Apartment for Sale in Byramji Town Nagpur,3600 sqft,Ready to Move,3 out of 10,"₹
4 Cr",,,
"2 BHK Apartment for Sale in SDPL Aashray Hazaripahad, Hazari Pahad Nagpur",610 sqft,Ready to Move,1 out of 7,"₹
25.9 Lac",,,
2 BHK Apartment for Sale in Gokulpeth Nagpur,N/A,Ready to Move,1 out of 1,"₹
60 Lac",,Resale,Furnished
2 BHK Apartment for Sale in Laxmi Nagar Nagpur,1000 sqft,Ready to Move,2 out of 2,"₹
52 Lac",,,
2 BHK Apartment for Sale in Gorewada Road Nagpur,900 sqft,Ready to Move,1 out of 6,"₹
31 Lac",,,
2 BHK Apartment for Sale in Manish Nagar Nagpur,850 sqft,Ready to Move,3 out of 4,"₹
38 Lac",,,
3 BHK Apartment for Sale in Trimurti Nagar Nagpur,1350 sqft,Ready to Move,2 out of 4,"₹
75 Lac",,,
2 BHK Apartment for Sale in Dabha Nagpur,900 sqft,Poss. by Nov '24,11 out of 11,"₹
53 Lac",,,
3 BHK Apartment for Sale in Ram Das Peth Nagpur,1800 sqft,Ready to Move,4 out of 6,"₹
2 Cr",,,
3 BHK Apartment for Sale in Clark Town Nagpur,1450 sqft,Ready to Move,4 out of 6,"₹
85 Lac",,,
3 BHK Apartment for Sale in Byramji Town Nagpur,1800 sqft,Ready to Move,6 out of 7,"₹
1.80 Cr",,,
3 BHK Apartment for Sale in Telecom Nagar Nagpur,1500 sqft,Poss. by Nov '25,Ground out of 6,"₹
1.20 Cr",,,
2 BHK Apartment for Sale in cherry enclave Nagpur,1050 sqft,Ready to Move,2 out of 4,"₹
70 Lac",,,
3 BHK Apartment for Sale in Mihan Nagpur,N/A,Ready to Move,11 out of 16,"₹
80 Lac",,,
"2 BHK Apartment for Sale in Arijin Amar Sankul, Chikhali Nagpur",850 sqft,Ready to Move,5 out of 7,"₹
32 Lac",,,
2 BHK Apartment for Sale in Sawarkar Nagar Nagpur,700 sqft,Ready to Move,3 out of 4,"₹
64 Lac",,,
"2 BHK Apartment for Sale in Shree Laxmi Estate 1, Besa Nagpur",760 sqft,Ready to Move,1 out of 9,"₹
35 Lac",,,
"3 BHK Apartment for Sale in Shiv Kailasa, Mihan Nagpur",943 sqft,Ready to Move,9 out of 16,"₹
56 Lac",,,
"1 BHK Apartment for Sale in Kanchan Ganga, Hingna Nagpur",31 sqm,Ready to Move,1 out of 3,"₹
10.3 Lac",,,
"2 BHK Apartment for Sale in Garden Court, Bel Tarodi Nagpur",1014 sqft,Ready to Move,4 out of 6,"₹
56 Lac",,,
2 BHK Apartment for Sale in Byramji Town Nagpur,852 sqft,Ready to Move,3 out of 3,"₹
1 Cr",,,
