Title,Carpet Area,Status,Floor,Price,Bathrooms,Transaction,Furnishing
"2 BHK Apartment for Sale in Yashada Windsong, Mukai Nagar Ravet Pune",807 sqft,Poss. by Dec '25,12 out of 14,"₹
89.2 Lac",,,
"3 BHK Apartment for Sale in M Soul Strings, Pashan Pune",1302 sqft,Poss. by Dec '30,14 out of 28,"₹
2.14 Cr",,,
"3 BHK Apartment for Sale in K Ville, Kiwale, Dehu Road Pune",990 sqft,Poss. by Dec '24,5 out of 14,"₹
91.5 Lac",,,
3 BHK Apartment for Sale in Pashan Pune,1302 sqft,Poss. by Dec '27,8 out of 27,"₹
1.99 Cr",,,
"5 BHK Apartment for Sale in Lodha Bella Vita, Mohamadwadi Settlement Pune",2300 sqft,Poss. by Dec '24,11 out of 27,"₹
2.66 Cr",,,
"2 BHK Apartment for Sale in Golfland, Bavdhan Pune",1011 sqft,Poss. by Dec '28,11 out of 22,"₹
1.48 Cr",,,
"3 BHK Apartment for Sale in The Ark Voyage To The Stars, Kondhwa Pune",2266 sqft,Poss. by Dec '24,9 out of 14,"₹
2.48 Cr",,,
"3 BHK Apartment for Sale in Panchshil Towers, EON Free Zone, Kharadi Pune",1700 sqft,Ready to Move,21 out of 32,"₹
3.80 Cr",,,
"4 BHK Apartment for Sale in VTP Earth One, Mahalunge Pune",1766 sqft,Poss. by Dec '27,16 out of 35,"₹
2.09 Cr",,,
"3 BHK Apartment for Sale in Kosmic Kourtyard, Wagholi Pune",943 sqft,N/A,N/A,"₹
91.7 Lac",,New Property,Unfurnished
2 BHK Apartment for Sale in shree dhavalgiri cooperative society baner Pune,900 sqft,Ready to Move,3 out of 10,"₹
1.30 Cr",,,
"3 BHK Apartment for Sale in Magnacity, Manjari BK Pune",1053 sqft,Poss. by Dec '26,5 out of 13,"₹
1.07 Cr",,,
2 BHK Apartment for Sale in Hinjawadi Pune,725 sqft,Poss. by Dec '28,5 out of 26,"₹
78 Lac",,,
"2 BHK Apartment for Sale in Puneville, Punawale, Pimpri Chinchwad Pune",832 sqft,Poss. by Dec '26,20 out of 27,"₹
74 Lac",,,
"3 BHK Apartment for Sale in Bella Casa Royale, Sus Pune",1092 sqft,Poss. by Dec '26,N/A,"₹
1.30 Cr",,New Property,
"3 BHK Apartment for Sale in Vivanta Next, Tathawade Pimpri Chinchwad Pune",897 sqft,Poss. by Sep '26,N/A,"₹
2.14 Cr",,New Property,
"3 BHK Apartment for Sale in Sai Avishkar Phase 3, Dhayari Pune",1031 sqft,Poss. by Dec '25,N/A,"₹
83.2 Lac",,New Property,
"2 BHK Apartment for Sale in Aqura Pride, Sinhgad Road Pune",729 sqft,Poss. by Sep '25,N/A,"₹
89.2 Lac",,New Property,
"3 BHK Apartment for Sale in VTP Euphoria, EON Free Zone, Kharadi Pune",1450 sqft,Poss. by Dec '25,10 out of 32,"₹
1.29 Cr",,,
"2 BHK Apartment for Sale in Geras Island of Joy, Wagholi Pune",828 sqft,Poss. by Dec '26,11 out of 34,"₹
99 Lac",,,
"2 BHK Apartment for Sale in Merlin Ventana, Baner Pune",870 sqft,Poss. by Dec '26,10 out of 22,"₹
1.07 Cr",,,
"2 BHK Apartment for Sale in VTP Dolce Vita, Kharadi Pune",805 sqft,Poss. by Dec '27,26 out of 32,"₹
81.2 Lac",,,
"5 BHK Penthouse for Sale in The Strand, Kharadi Pune",2909 sqft,Poss. by Jun '27,22 out of 27,"₹
3.49 Cr",,,
"3 BHK Apartment for Sale in Merlin Ventana, Baner Pune",1135 sqft,Poss. by Dec '28,10 out of 27,"₹
1.65 Cr",,,
"2 BHK Apartment for Sale in Puravankara Purva Silversands, Mundhwa Pune",804 sqft,Ready to Move,8 out of 21,"₹
1.02 Cr",,,
"3 BHK Apartment for Sale in VTP Dolce Vita, Tukaram Nagar Kharadi Pune",928 sqft,Poss. by Dec '27,9 out of 30,"₹
1.02 Cr",,,
"2 BHK Apartment for Sale in Riverdale Grand, Kharadi Pune",767 sqft,Poss. by Jun '26,10 out of 17,"₹
77 Lac",,,
"3 BHK Apartment for Sale in GK Aryaban, Kiwale, Dehu Road Pune",1009 sqft,Poss. by May '26,5 out of 13,"₹
81.7 Lac",,,
"3 BHK Apartment for Sale in Ace Atmosphere, Mukai Nagar Ravet Pune",1027 sqft,Poss. by Sep '28,18 out of 25,"₹
1.17 Cr",,,
"3 BHK Apartment for Sale in GK Aryaban, Kiwale, Dehu Road Pune",1009 sqft,Poss. by Dec '25,12 out of 16,"₹
85 Lac",,,
"3 BHK Apartment for Sale in Anjor Apartment, Baner Pune",1250 sqft,Ready to Move,2 out of 9,"₹
1.45 Cr",,,
"2 BHK Apartment for Sale in Bhugaon, Bavdhan Pune",970 sqft,Ready to Move,8 out of 9,"₹
90 Lac",,,
"3 BHK Apartment for Sale in Panchshil Towers, Kharadi Pune",N/A,Ready to Move,30 out of 32,"₹
3.70 Cr",,,
"3 BHK Apartment for Sale in Nyati Emerald, Baner Pune",1213 sqft,Poss. by Jun '26,4 out of 26,"₹
1.52 Cr",,,
"3 BHK Apartment for Sale in Marvel Arco, Hadapsar Pune",1600 sqft,Ready to Move,3 out of 12,"₹
2.20 Cr",,,
"3 BHK Apartment for Sale in Eternal Exotica, Undri Pune",860 sqft,Ready to Move,10 out of 12,"₹
68 Lac",,,
"2 BHK Apartment for Sale in Sukhwani Skylines, Wakad Pune",836 sqft,Ready to Move,10 out of 16,"₹
1.06 Cr",,,
"3 BHK Apartment for Sale in Adani Atelier Greens, Koregaon Park Annexe, Mundhwa Pune",1400 sqft,Ready to Move,10 out of 14,"₹
2.50 Cr",,,
"4 BHK Apartment for Sale in Yoo Pune, Magarpatta Pune",4500 sqft,Ready to Move,18 out of 20,"₹
7.94 Cr",,,
"3 BHK Apartment for Sale in Atur Park, Koregaon Park Pune",1500 sqft,Ready to Move,5 out of 6,"₹
3 Cr",,,
"3 BHK Apartment for Sale in Kakkad La Vida, Balewadi Pune",1350 sqft,Ready to Move,3 out of 22,"₹
1.69 Cr",,,
"2 BHK Apartment for Sale in 5 Star ANP Landmark, Bhumkar Nagar Wakad Pune",755 sqft,Ready to Move,7 out of 14,"₹
80 Lac",,,
"2 BHK Apartment for Sale in Windows Housing Society, Sus Pune",650 sqft,Ready to Move,10 out of 11,"₹
60 Lac",,,
"3 BHK Apartment for Sale in Ganga Mansion, Vishrantwadi, Airport Road Pune",1334 sqft,Ready to Move,Ground out of 5,"₹
1 Cr",,,
"4 BHK Apartment for Sale in 24K Altura, Baner Pune",1733 sqft,Poss. by Dec '26,29 out of 37,"₹
2.45 Cr",,,
"3 BHK Apartment for Sale in Swojas Crystal Bay, Kalyani Nagar Pune",N/A,Ready to Move,3 out of 5,"₹
2.35 Cr",,,
"3 BHK Apartment for Sale in Rahul Downtown, Tathawade Pimpri Chinchwad Pune",979 sqm,Poss. by Apr '25,9 out of 20,"₹
89.8 Lac",,,
"4 BHK Apartment for Sale in Marvel Zephyr, Kharadi Pune",3680 sqft,Ready to Move,9 out of 12,"₹
3.70 Cr",,,
"4 BHK Villa for Sale in Yoo Villas, Wagholi Pune",5200 sqft,Poss. by Dec '25,N/A,"₹
9.75 Cr",,New Property,
"2 BHK Apartment for Sale in Raheja Vistas, NIBM Road Pune",1050 sqft,Ready to Move,14 out of 18,"₹
1.39 Cr",,Resale,Furnished
"3 BHK Apartment for Sale in Forest County, Kharadi Pune",1540 sqft,Ready to Move,10 out of 12,"₹
2.70 Cr",,,
"2 BHK Apartment for Sale in Gera Park View, Kharadi Pune",850 sqft,Ready to Move,9 out of 12,"₹
97 Lac",,,
4 BHK Apartment for Sale in Gahunje Pune,2370 sqft,Poss. by Dec '24,15 out of 22,"₹
2.43 Cr",,,
2 BHK Apartment for Sale in Hinjawadi Pune,792 sqft,Poss. by Dec '25,11 out of 19,"₹
81 Lac",,,
2 BHK Builder Floor for Sale in Handewadi Pune,N/A,Ready to Move,2 out of 4,"₹
25.3 Lac",1,Resale,Unfurnished
"2 BHK Apartment for Sale in Somani Towers, Punvale Bazar Pune",682 sqft,Poss. by Dec '25,11 out of 21,"₹
55 Lac",,,
"4 BHK Apartment for Sale in Marvel Zephyr, Kharadi Pune",4000 sqft,Ready to Move,6 out of 12,"₹
6 Cr",,,
"3 BHK Apartment for Sale in Godrej Rivergreens, Manjri, Manjri Budruk Pune",1393 sqft,Poss. by Oct '28,10 out of 38,"₹
1.99 Cr",,,
"1 BHK Apartment for Sale in Aishwaryam Courtyard, Chikhali Pimpri Chinchwad Pune",277 sqft,Ready to Move,6 out of 10,"₹
21 Lac",,,
"3 BHK Apartment for Sale in Midori Towers, Patil Nagar Pimple Nilakh Pune",1130 sqft,Poss. by Sep '26,4 out of 29,"₹
1.70 Cr",,,
"3 BHK Apartment for Sale in Godrej Greens, Undri Pune",930 sqft,Ready to Move,6 out of 16,"₹
82 Lac",,,
"3 BHK Apartment for Sale in Lodha Panache, Hinjawadi Pune",1122 sqft,Poss. by Jun '27,N/A,"₹
1.40 Cr",,New Property,
"3 BHK Apartment for Sale in Rahul Aston, Phase 1 Hinjewadi Rajiv Gandhi Infotech Park Pune",947 sqft,Poss. by Mar '25,N/A,"₹
1.02 Cr",,New Property,
"3 BHK Apartment for Sale in Majestique Signature Towers, Balewadi Pune",1448 sqft,Poss. by Jun '26,N/A,"₹
2.10 Cr",,New Property,
2 BHK Apartment for Sale in Sharad Nagar Mundhwa Pune,820 sqft,Poss. by Dec '30,Lower Basement out of 15,"₹
89.5 Lac",2,New Property,Unfurnished
"2 BHK Apartment for Sale in Mahindra Codename Crown, Kalubai Nagar Wagholi Pune",933 sqft,Poss. by Dec '29,10 out of 30,"₹
98 Lac",,,
"5 BHK Apartment for Sale in Koregaon Park, Koregaon Park Pune",5800 sqft,Ready to Move,2 out of 10,"₹
18 Cr",,,
"2 BHK Apartment for Sale in Oxford Olympia Phase 1, Wakad Pune",972 sqft,Ready to Move,4 out of 12,"₹
68 Lac",,,
"2 BHK Apartment for Sale in Pebbles Urbania, Chandani Chowk, Bavdhan Pune",700 sqft,Ready to Move,5 out of 12,"₹
94.4 Lac",,,
"4 BHK Apartment for Sale in Riverdale Grand, Kharadi Pune",2290 sqft,Poss. by Sep '28,N/A,"₹
3.25 Cr",,New Property,
"4 BHK Apartment for Sale in Riverdale Grand, Kharadi Pune",2290 sqft,Poss. by Sep '28,N/A,"₹
3.25 Cr",,New Property,
"4 BHK Apartment for Sale in Merlin Ventana, Baner Pune",1456 sqft,Poss. by Dec '28,N/A,"₹
1.93 Cr",,New Property,
"4 BHK Apartment for Sale in The Strand, Kharadi Pune",2909 sqft,Poss. by Dec '26,N/A,"₹
3.29 Cr",,New Property,
"4 BHK Apartment for Sale in Yashada Windsong, Ravet, Pimpri Chinchwad Pune",1791 sqft,Poss. by Jun '26,N/A,"₹
2 Cr",,New Property,
"3 BHK Apartment for Sale in Kalpataru Jade Skyline, Baner Pune",1189 sqft,Poss. by Dec '26,N/A,"₹
1.67 Cr",,New Property,
"3 BHK Apartment for Sale in M Soul Strings, Pashan Pune",1315 sqft,Poss. by Dec '26,N/A,"₹
2.17 Cr",,New Property,
"4 BHK Apartment for Sale in Riverdale Grand, Kharadi Pune",2290 sqft,Poss. by Sep '28,N/A,"₹
3.25 Cr",,New Property,
"3 BHK Apartment for Sale in Kalpataru Jade Skyline, Baner Pune",1189 sqft,Poss. by Dec '26,N/A,"₹
1.67 Cr",,New Property,
"3 BHK Apartment for Sale in VTP Dolce Vita, Kharadi Pune",N/A,Poss. by Dec '28,N/A,"₹
1.91 Cr",,New Property,
"3 BHK Apartment for Sale in Riverdale Grand, Kharadi Pune",1139 sqft,Poss. by Dec '25,N/A,"₹
1.60 Cr",,New Property,
