City,Price,Area (sqft),Construction Status,BHK,Bathrooms,Location_encoded
1,3100000.0,600,0,1.0,3.0,282
1,5100000.0,690,0,1.0,3.0,468
0,7500000.0,365,0,1.0,2.0,96
0,11100000.000000002,458,0,1.0,2.0,180
0,11200000.000000002,461,0,1.0,2.0,180
0,12200000.0,503,0,1.0,2.0,180
0,12300000.0,507,0,1.0,2.0,180
0,6467000.0,308,0,1.0,2.0,250
0,6887000.0,328,0,1.0,2.0,250
0,6930000.0,330,0,1.0,2.0,250
0,7665000.000000001,365,0,1.0,2.0,250
1,6000000.0,590,0,1.0,2.0,220
1,4000000.0,640,0,1.0,2.0,356
1,5877000.0,444,0,1.0,3.0,40
1,4800000.0,412,0,1.0,2.0,422
1,4850000.0,420,0,1.0,2.0,422
1,3100000.0,580,0,1.0,2.0,80
1,3228000.0,478,0,1.0,2.0,87
1,3300000.0,650,0,1.0,2.0,145
1,5442000.0,390,0,1.0,2.0,244
1,6010000.0,430,0,1.0,2.0,244
1,3150000.0,560,0,1.0,2.0,270
0,3290000.0,480,0,1.0,2.0,287
0,3320000.0000000005,550,0,1.0,2.0,287
0,3599000.0,650,0,1.0,2.0,287
0,3800000.0,650,0,1.0,2.0,287
0,3890000.0,690,0,1.0,2.0,287
0,3995000.0000000005,552,0,1.0,2.0,287
0,4090000.0,560,0,1.0,2.0,287
0,4100000.0,560,0,1.0,2.0,287
0,4110000.0,560,0,1.0,2.0,287
0,5750000.0,850,0,1.0,2.0,287
1,3300000.0,600,0,1.0,4.0,469
0,2600000.0,500,0,1.0,2.0,19
0,3000000.0,560,0,1.0,2.0,171
0,3100000.0,697,0,1.0,2.0,202
0,3300000.0,697,0,1.0,2.0,202
0,1950000.0,658,0,1.0,2.0,206
0,17000000.0,790,0,1.0,2.0,233
0,1500000.0,460,0,1.0,2.0,358
0,14000000.0,432,0,1.0,2.0,368
0,4200000.0,630,0,1.0,2.0,404
0,2100000.0,490,0,1.0,2.0,449
0,2299000.0,585,0,1.0,1.0,11
0,2550000.0,680,0,1.0,1.0,11
0,2699000.0,675,0,1.0,1.0,11
